invalid_loss_value,max_memory_allocated,final_batch_size,experiment,project,linear_probing,curve_length
True,3153523200,2,11248933366585117_tfds-icgen_uc_merced_12_v1,AFT-ZAP-00,False,1
False,5216031232,64,139733362348808266_tfds-icgen_cycle_gan_maps_4_v1,AFT-ZAP-00,True,50
False,216035840,16,112904178477994716_tfds-icgen_fashion_mnist_2_v1,AFT-ZAP-00,False,50
False,9994291200,64,114072058955931963_tfds-icgen_imagenet_resized_32x32_2_v1,AFT-ZAP-00,False,50
False,190577152,4,14302278079488812_tfds-icgen_horses_or_humans_10_v1,AFT-ZAP-00,False,50
False,80500224,4,14011830603395625_tfds-icgen_cycle_gan_apple2orange_12_v1,AFT-ZAP-00,True,50
False,247581184,8,101547911015939074_tfds-icgen_stanford_dogs_9_v1,AFT-ZAP-00,True,50
False,4701933056,4,17084464749516566_tfds-icgen_cycle_gan_horse2zebra_1_v1,AFT-ZAP-00,True,50
False,10418298880,4,16309185305627800_tfds-icgen_oxford_iiit_pet_8_v1,AFT-ZAP-00,False,1
False,106537472,4,1511207148361250_tfds-icgen_cats_vs_dogs_4_v1,AFT-ZAP-00,True,50
False,229419520,8,101232726532001681_tfds-icgen_cmaterdb_telugu_12_v1,AFT-ZAP-00,False,50
False,10269163008,256,156446733202763093_tfds-icgen_cycle_gan_iphone2dslr_flower_10_v1,AFT-ZAP-00,False,1
False,9978319360,32,114315373181469578_tfds-icgen_cars196_4_v1,AFT-ZAP-00,False,50
False,478827520,4,149369308459443164_tfds-icgen_cmaterdb_telugu_10_v1,AFT-ZAP-00,False,50
False,10231940096,8,17091220400295245_tfds-icgen_cycle_gan_maps_8_v1,AFT-ZAP-00,False,1
False,10477257728,4,158737214219390710_tfds-icgen_deep_weeds_10_v1,AFT-ZAP-00,False,1
False,3970951680,4,14580578580671504_tfds-icgen_cmaterdb_bangla_1_v1,AFT-ZAP-00,True,50
True,9347703808,32,12270819357221375_tfds-icgen_cycle_gan_ukiyoe2photo_9_v1,AFT-ZAP-00,False,1
True,3104986112,2,108430021118683945_tfds-icgen_cmaterdb_telugu_15_v1,AFT-ZAP-00,True,26
False,10374585344,16,139224415016569742_tfds-icgen_cycle_gan_vangogh2photo_10_v1,AFT-ZAP-00,False,1
False,9758666240,16,133427948937909514_tfds-icgen_fashion_mnist_3_v1,AFT-ZAP-00,False,1
False,9239446016,8,114362271966608956_tfds-icgen_visual_domain_decathlon_dtd_15_v1,AFT-ZAP-00,False,1
False,10202730496,16,11310035635763_tfds-icgen_cifar10_11_v1,AFT-ZAP-00,False,50
False,485180416,8,14126087215916698_tfds-icgen_cats_vs_dogs_4_v1,AFT-ZAP-00,True,50
False,10319719424,8,12124785241743694_tfds-icgen_stanford_dogs_13_v1,AFT-ZAP-00,False,1
