output_state,experiment,diagnosis
ok,46868586722496281_micro_set0_PLT_VIL_v1,success
ok,47019126278192551_micro_set0_PLT_VIL_v1,success
ok,47053434308598105_micro_set1_PLT_NET_v1,success
xx,47201751949110695_micro_set0_BCT_v1,diverged
xx,47273957023917549_micro_set2_AWA_v1,OOM
xx,47481277378654799_micro_set1_PLT_NET_v1,batch_size>dataset_size
ok,475250360905782_micro_set0_FLW_v1,success
xx,47542955042670802_micro_set1_DOG_v1,batch_size>dataset_size
xx,478613217543004691_micro_set1_RSICB_v1,batch_size>dataset_size
ok,481708428384941529_micro_set0_RESISC_v1,success
ok,4825006266087276_micro_set2_AWA_v1,success
xx,4827419981204025_micro_set2_INS_v1,AMP
xx,4869369228381677_micro_set2_PRT_v1,batch_size>dataset_size
xx,4889187505799042_micro_set2_PLT_DOC_v1,OOM
xx,4977633984938039_micro_set1_RSICB_v1,AMP
ok,4992914828137472_micro_set0_BCT_v1,success
xx,5000109488429099_micro_set0_PLT_VIL_v1,OOM
ok,50585044401513393_micro_set1_INS_2_v1,success
ok,51147378281306364_micro_set0_PLT_VIL_v1,success
ok,51297827149782246_micro_set2_ACT_410_v1,success
xx,51333757106822585_micro_set1_APL_v1,batch_size>dataset_size
ok,5132767151680199_micro_set1_MD_5_BIS_v1,success
xx,51521086594632954_micro_set2_ACT_410_v1,OOM
xx,51949366798546772_micro_set1_RSICB_v1,OOM
ok,5205708307742307_micro_set2_FNG_v1,success
xx,52429105381401844_micro_set1_ACT_40_v1,batch_size>dataset_size
ok,52508861916644240_micro_set2_RSD_v1,success
ok,52764379248055181_micro_set2_TEX_ALOT_v1,success
xx,52977542840509459_micro_set0_BRD_v1,AMP
xx,53545301326609121_micro_set1_ACT_40_v1,OOM
ok,54030204140101166_micro_set1_APL_v1,success
xx,5421252461971083_micro_set0_MD_MIX_v1,OOM
ok,5451691089804054_micro_set0_MD_MIX_v1,success
ok,54640017771952928_micro_set2_TEX_ALOT_v1,success
ok,54925078319779770_micro_set1_ACT_40_v1,success
ok,55094486031499261_micro_set1_INS_2_v1,success
ok,55161992368920623_micro_set0_BCT_v1,success
ok,55270429832736247_micro_set2_MD_6_v1,success
ok,55938193195786366_micro_set2_ACT_410_v1,success
xx,5607613085878141_micro_set2_MD_6_v1,AMP
ok,5622877716060484_micro_set0_BRD_v1,success
ok,56882338235573855_micro_set1_INS_2_v1,success
ok,572214788982845074_micro_set1_DOG_v1,success
ok,57398686739932263_micro_set0_PLK_v1,success
ok,57301740740142664_micro_set0_PLT_VIL_v1,success
xx,575179815233795_micro_set0_RESISC_v1,OOM
ok,57580737540589443_micro_set2_MD_6_v1,success
ok,57600492225354933_micro_set0_PLT_VIL_v1,success
ok,57770168086219135_micro_set1_TEX_DTD_v1,success
xx,59167393436326492_micro_set2_FNG_v1,OOM
ok,59339651681888990_micro_set0_BRD_v1,success
ok,59846507081797941_micro_set2_PLT_DOC_v1,success
xx,59835313836990485_micro_set2_TEX_ALOT_v1,OOM
ok,60333795443254597_micro_set0_SPT_v1,success
ok,60475750578731543_micro_set0_CRS_v1,success
ok,60499568208248561_micro_set1_DOG_v1,success
ok,60539342520331108_micro_set2_INS_v1,success
xx,609302587504162444_micro_set0_MD_MIX_v1,batch_size>dataset_size
xx,61911219257537597_micro_set1_PNU_v1,batch_size>dataset_size
xx,62180725373487715_micro_set2_BTS_v1,OOM
xx,6260511707168941_micro_set2_TEX_ALOT_v1,OOM
ok,62736334599007598_micro_set2_ACT_410_v1,success
ok,62955343286763110_micro_set1_PNU_v1,success
xx,6336462635906378_micro_set1_TEX_DTD_v1,OOM
ok,63371886237906930_micro_set2_PRT_v1,success
ok,63798714579362047_micro_set2_MD_6_v1,success
xx,63948621538895000_micro_set1_RSICB_v1,cuDNN_error
xx,64136126381379767_micro_set1_DOG_v1,OOM
xx,64494459173355682_micro_set2_ACT_410_v1,OOM
ok,64504363983831427_micro_set2_FNG_v1,success
xx,64736850532697495_micro_set2_PRT_v1,batch_size>dataset_size
xx,65194176069559474_micro_set1_RSICB_v1,batch_size>dataset_size
ok,6567093053167842_micro_set2_TEX_ALOT_v1,success
ok,65999831525408013_micro_set2_PRT_v1,success
ok,66096380669434263_micro_set0_CRS_v1,success
ok,6613386273735397_micro_set2_RSD_v1,success
ok,6656690795856951_micro_set1_DOG_v1,success
ok,66634006747364986_micro_set2_RSD_v1,success
ok,66650801576313349_micro_set2_PRT_v1,success
ok,67594768991026426_micro_set1_DOG_v1,success
xx,67946623528818979_micro_set2_TEX_ALOT_v1,diverged
ok,68334495234014599_micro_set2_BTS_v1,success
ok,68829995792481333_micro_set1_ACT_40_v1,success
ok,68890458902539310_micro_set2_PLT_DOC_v1,success
ok,69274609454105864_micro_set2_BTS_v1,success
xx,69325132878257070_micro_set1_ACT_40_v1,OOM
ok,6973483024520722_micro_set0_BRD_v1,success
ok,69274609454105864_micro_set2_BTS_v1,success
xx,69962531844054832_micro_set2_ACT_410_v1,batch_size>dataset_size
xx,70966082422241267_micro_set0_BRD_v1,AMP
ok,71488234114223184_micro_set2_BTS_v1,success
ok,71729406298362821_micro_set2_RSD_v1,success
ok,71909733182411461_micro_set1_PNU_v1,success
xx,72015767942050615_micro_set1_RSICB_v1,AMP
ok,72092226311128031_micro_set1_MED_LF_v1,success
ok,7212752003848104_micro_set1_DOG_v1,success
ok,72291862674411644_micro_set1_PLT_NET_v1,success
ok,727581333136692_micro_set0_PLT_VIL_v1,success
ok,73134538052258618_micro_set0_TEX_v1,success
ok,7347469236817214_micro_set2_AWA_v1,success
ok,73708727487267336_micro_set2_PLT_DOC_v1,success
ok,73994337949491274_micro_set0_TEX_v1,success
ok,74114868598822210_micro_set0_PLT_VIL_v1,success
ok,7436581694966258_micro_set2_FNG_v1,success
ok,7461508995391304_micro_set1_APL_v1,success
ok,75141906236903709_micro_set0_SPT_v1,success
xx,75296470477308947_micro_set2_FNG_v1,batch_size>dataset_size
ok,75569745812553567_micro_set0_CRS_v1,success
ok,75753801767779434_micro_set2_PRT_v1,success
ok,76258374428159190_micro_set1_TEX_DTD_v1,success
ok,76652688682084821_micro_set2_FNG_v1,success
ok,7687226712481520_micro_set1_ACT_40_v1,success
xx,76875942204750309_micro_set1_PLT_NET_v1,AMP
ok,77032314379547257_micro_set0_RESISC_v1,success
xx,7718953234921633_micro_set0_FLW_v1,success
ok,77457284905378680_micro_set2_PLT_DOC_v1,success
ok,77643533360697106_micro_set1_MED_LF_v1,success
xx,77645828733035344_micro_set1_PLT_NET_v1,OOM
xx,77733410039412791_micro_set2_TEX_ALOT_v1,AMP
ok,77920208222203076_micro_set0_MD_MIX_v1,success
xx,7801879233350141_micro_set2_RSD_v1,AMP
ok,78153482037299674_micro_set2_INS_v1,success
ok,78345341007997479_micro_set2_MD_6_v1,success
ok,78967931247156430_micro_set0_BCT_v1,success
xx,79097329955943933_micro_set1_DOG_v1,AMP
xx,79113922731782409_micro_set0_FLW_v1,AMP
ok,7967480245489692_micro_set0_CRS_v1,success
ok,79770917207900544_micro_set1_PNU_v1,success
ok,79781578831786404_micro_set1_MED_LF_v1,success
ok,80041810376325138_micro_set1_PLT_NET_v1,success
ok,80110793352668328_micro_set2_FNG_v1,success
xx,80169889480376614_micro_set2_ACT_410_v1,batch_size>dataset_size
xx,80177529043602971_micro_set1_INS_2_v1,batch_size>dataset_size
xx,8057709134202555_micro_set2_PLT_DOC_v1,batch_size>dataset_size
